timestamp,sensor_id,sensor_type,value,unit
1700719200,urn:uni-bremen:iab:wio:0:0:tcon:0001,temperature,15.34,celsius
1700722800,urn:uni-bremen:iab:wio:0:0:tcon:0001,temperature,19.51,celsius
1700726400,urn:uni-bremen:iab:wio:0:0:tcon:0001,temperature,22.72,celsius
1700730000,urn:uni-bremen:iab:wio:0:0:tcon:0001,temperature,25.25,celsius
1700733600,urn:uni-bremen:iab:wio:0:0:tcon:0001,temperature,27.26,celsius
1700737200,urn:uni-bremen:iab:wio:0:0:tcon:0001,temperature,28.87,celsius
1700719200,urn:uni-bremen:iab:wio:0:0:rcon:0001,humidity,64.47,percent
1700722800,urn:uni-bremen:iab:wio:0:0:rcon:0001,humidity,58.25,percent
1700726400,urn:uni-bremen:iab:wio:0:0:rcon:0001,humidity,53.82,percent
1700730000,urn:uni-bremen:iab:wio:0:0:rcon:0001,humidity,50.8,percent
1700733600,urn:uni-bremen:iab:wio:0:0:rcon:0001,humidity,48.65,percent
1700737200,urn:uni-bremen:iab:wio:0:0:rcon:0001,humidity,47.09,percent
1700719200,urn:uni-bremen:iab:wio:0:0:ptch:0001,pitchAngle,6.49,degree
1700722800,urn:uni-bremen:iab:wio:0:0:ptch:0001,pitchAngle,12.4,degree
1700726400,urn:uni-bremen:iab:wio:0:0:ptch:0001,pitchAngle,16.53,degree
1700730000,urn:uni-bremen:iab:wio:0:0:ptch:0001,pitchAngle,18.56,degree
1700733600,urn:uni-bremen:iab:wio:0:0:ptch:0001,pitchAngle,12.01,degree
1700737200,urn:uni-bremen:iab:wio:0:0:ptch:0001,pitchAngle,11.82,degree
1700719200,urn:uni-bremen:iab:wio:0:0:wspd:0001,windSpeed,7.24,m/s
1700722800,urn:uni-bremen:iab:wio:0:0:wspd:0001,windSpeed,12.62,m/s
1700726400,urn:uni-bremen:iab:wio:0:0:wspd:0001,windSpeed,13.21,m/s
1700730000,urn:uni-bremen:iab:wio:0:0:wspd:0001,windSpeed,12.34,m/s
1700733600,urn:uni-bremen:iab:wio:0:0:wspd:0001,windSpeed,12.43,m/s
1700737200,urn:uni-bremen:iab:wio:0:0:wspd:0001,windSpeed,9.43,m/s
